cliente;atrasos;Resposta;temporel;valorfatura;p_gastoalim;regiaorisco;rendamensal
6593;2;0;1;1;1;2;1
6594;1;1;1;2;3;3;2
6595;3;1;3;2;1;2;2
6596;2;0;1;2;2;1;4
6597;4;0;2;3;2;4;1
6598;2;0;4;4;2;1;4
6599;4;1;1;3;4;4;1
6600;2;0;4;2;4;1;4
6601;4;1;3;2;3;3;4
6602;2;1;1;2;3;2;2
6603;3;0;4;3;1;4;4
6604;2;0;3;2;2;4;2
6605;2;1;4;3;2;1;4
6606;4;0;3;2;2;4;3
6607;3;1;4;1;3;4;3
6608;2;0;3;3;4;3;3
6609;1;0;1;1;2;2;3
6610;3;0;4;3;4;4;4
6611;3;0;3;1;1;3;2
6612;1;1;2;3;2;4;1
6613;1;0;3;1;4;4;2
6614;1;0;4;2;1;1;3
6615;4;0;4;3;3;1;3
6616;2;0;4;1;4;3;2
6617;2;0;4;4;3;4;1
6618;3;1;4;3;2;3;2
6619;3;1;2;2;1;3;2
6620;3;0;3;1;3;1;2
6621;1;0;4;1;3;3;3
6622;3;1;4;2;2;3;1
6623;1;0;2;1;4;3;1
6624;2;1;4;3;1;2;1
6625;3;0;3;2;4;1;3
6626;2;1;1;1;1;1;4
6627;4;1;1;2;1;3;2
6628;3;1;3;1;4;1;3
6629;2;0;4;3;3;4;1
6630;4;1;4;2;1;4;2
6631;4;1;3;1;1;1;3
6632;2;0;4;1;4;2;1
6633;3;0;1;2;1;2;2
6634;3;1;1;2;2;3;3
6635;3;0;2;3;4;1;4
6636;4;1;4;4;4;2;1
6637;2;0;2;1;4;3;1
6638;4;1;3;1;2;3;1
6639;1;1;3;1;1;3;1
6640;3;1;1;1;3;2;2
6641;3;1;1;2;3;1;4
6642;1;0;4;4;4;4;4
6643;2;1;1;2;3;2;3
6644;2;1;3;2;1;2;4
6645;2;0;1;1;3;3;4
6646;1;0;4;1;3;4;1
6647;4;1;3;4;3;2;1
6648;2;1;1;3;2;2;1
6649;4;1;3;3;2;1;4
6650;2;1;1;3;3;1;4
6651;4;1;1;1;4;3;1
6652;4;0;3;4;4;4;2
6653;4;1;2;3;1;3;1
6654;2;0;4;1;3;3;4
6655;2;1;1;1;2;4;3
6656;4;1;1;1;4;2;1
6657;2;0;3;3;2;3;3
6658;4;0;1;4;4;3;3
6659;1;0;4;1;1;4;3
6660;2;0;2;1;2;2;2
6661;4;1;2;1;1;3;2
6662;2;1;2;1;3;1;2
6663;2;0;2;3;1;2;3
6664;3;1;4;1;1;1;1
6665;1;0;2;3;3;3;2
6666;1;0;4;4;4;1;1
6667;4;1;3;4;3;3;4
6668;4;1;1;1;1;1;1
6669;1;0;3;3;1;1;2
6670;3;0;1;2;4;4;4
6671;3;1;3;2;1;4;4
6672;3;1;1;2;1;3;1
6673;4;1;3;3;2;1;4
6674;4;1;2;2;1;2;3
6675;1;0;3;4;3;2;1
6676;3;1;1;2;3;2;1
6677;2;1;2;2;3;1;3
6678;2;0;3;2;4;3;4
6679;1;0;2;2;4;2;3
6680;3;1;2;4;3;1;2
6681;3;1;4;1;2;4;2
6682;4;1;3;1;2;3;4
6683;4;0;4;1;3;4;3
6684;1;1;4;2;3;4;4
6685;2;1;2;2;1;1;1
6686;2;0;1;2;4;3;4
6687;2;0;1;1;2;2;1
6688;2;0;1;1;4;2;1
6689;2;0;3;3;4;3;2
6690;2;0;4;3;4;3;3
6691;1;0;1;3;3;3;4
6692;3;0;3;4;4;4;3
6693;3;0;4;4;3;2;4
6694;1;1;2;1;1;2;3
6695;3;1;4;2;1;2;1
6696;3;0;3;1;1;1;2
6697;4;1;3;2;2;4;2
6698;2;0;4;4;1;3;3
6699;3;1;3;2;1;1;3
6700;4;1;2;4;4;2;4
6701;1;0;4;1;1;3;3
6702;1;0;4;3;2;2;2
6703;2;1;2;4;4;1;3
6704;2;0;1;4;1;2;3
6705;2;0;4;1;2;1;3
6706;1;1;2;1;1;2;3
6707;2;1;1;1;2;2;1
6708;4;1;1;2;4;1;2
6709;4;1;2;1;1;3;3
6710;3;0;3;1;4;4;4
6711;4;1;1;2;1;1;1
6712;2;0;1;4;1;1;3
6713;2;1;3;2;2;4;3
6714;1;0;4;2;4;1;4
6715;4;1;2;3;2;2;1
6716;2;0;3;1;3;2;4
6717;1;0;2;3;3;3;2
6718;1;0;3;2;3;3;2
6719;1;0;2;3;3;4;4
6720;1;0;2;4;1;1;3
6721;1;0;1;2;1;4;4
6722;2;1;2;2;4;2;2
6723;4;1;1;4;3;4;4
6724;3;1;4;1;4;1;1
6725;4;1;1;1;3;2;4
6726;4;1;2;4;1;2;2
6727;2;0;3;2;4;2;2
6728;1;0;3;1;2;3;4
6729;1;0;1;1;1;4;2
6730;1;0;4;1;3;4;3
6731;2;0;1;1;3;2;1
6732;3;0;3;2;3;4;4
6733;2;0;2;2;3;1;3
6734;2;0;2;2;4;4;4
6735;3;1;4;2;3;2;2
6736;3;1;1;2;2;3;4
6737;3;1;3;3;2;2;2
6738;1;1;3;4;1;1;1
6739;1;1;1;4;2;1;2
6740;4;1;1;1;2;1;1
6741;3;1;1;1;2;2;1
6742;3;0;4;4;4;4;1
6743;4;0;2;4;2;4;2
6744;2;1;4;1;2;1;4
6745;3;1;3;1;2;2;1
6746;4;0;1;2;4;2;1
6747;3;1;2;1;1;2;1
6748;1;0;3;4;4;3;2
6749;1;0;3;2;2;4;1
6750;1;1;1;1;1;2;2
6751;3;0;4;2;4;1;4
6752;4;1;3;1;1;1;3
6753;4;1;1;3;1;1;1
6754;2;1;4;1;3;1;3
6755;4;1;2;1;4;1;3
6756;2;1;4;4;1;1;1
6757;3;1;1;3;3;1;4
6758;1;0;2;4;3;4;2
6759;4;0;4;2;3;2;3
6760;2;1;1;3;4;4;2
6761;3;1;2;1;2;2;2
6762;2;1;1;1;1;3;1
6763;4;1;3;2;3;4;4
6764;3;1;1;2;2;1;4
6765;1;0;1;2;3;4;2
6766;3;1;1;1;3;1;3
6767;2;0;2;2;3;4;1
6768;4;0;2;4;3;3;2
6769;2;0;1;2;4;1;4
6770;1;0;4;4;4;4;4
6771;1;0;4;3;4;4;4
6772;2;0;3;1;3;2;4
6773;4;0;4;2;4;4;1
6774;4;1;4;2;1;1;3
6775;4;1;2;2;1;2;2
6776;2;1;1;4;2;1;1
6777;1;0;4;1;3;4;3
6778;3;1;4;2;1;1;2
6779;3;1;1;3;1;4;3
6780;1;0;3;2;4;4;4
6781;2;0;1;3;4;2;1
6782;3;0;1;3;3;4;3
6783;3;1;1;1;1;1;3
6784;2;0;3;2;3;3;2
6785;1;0;2;1;4;2;4
6786;4;1;1;3;4;3;2
6787;3;1;3;4;1;3;2
6788;1;0;3;3;3;1;3
6789;2;0;3;2;4;4;3
6790;1;0;3;2;3;3;4
6791;1;0;2;4;3;2;3
6792;3;1;1;1;2;2;1
6793;3;1;2;2;3;1;3
6794;2;0;4;3;4;4;4
6795;3;1;3;3;1;4;2
6796;2;0;1;1;1;2;1
6797;1;1;1;2;3;3;2
6798;3;1;3;2;1;2;2
6799;2;0;1;2;2;1;4
6800;4;0;2;3;2;4;1
6801;2;0;4;4;2;1;4
6802;4;1;1;3;4;4;1
6803;2;0;4;2;4;1;4
6804;4;1;3;2;3;3;4
6805;2;1;1;2;3;2;2
6806;3;0;4;3;1;4;4
6807;2;0;3;2;2;4;2
6808;2;1;4;3;2;1;4
6809;4;0;3;2;2;4;3
6810;3;1;4;1;3;4;3
6811;2;0;3;3;4;3;3
6812;1;0;1;1;2;2;3
6813;3;0;4;3;4;4;4
6814;3;0;3;1;1;3;2
6815;1;1;2;3;2;4;1
6816;1;0;3;1;4;4;2
6817;1;0;4;2;1;1;3
6818;4;0;4;3;3;1;3
6819;2;0;4;1;4;3;2
6820;2;0;4;4;3;4;1
6821;3;1;4;3;2;3;2
6822;3;1;2;2;1;3;2
6823;3;0;3;1;3;1;2
6824;1;0;4;1;3;3;3
6825;3;1;4;2;2;3;1
6826;1;0;2;1;4;3;1
6827;2;1;4;3;1;2;1
6828;3;0;3;2;4;1;3
6829;2;1;1;1;1;1;4
6830;4;1;1;2;1;3;2
6831;3;1;3;1;4;1;3
6832;2;0;4;3;3;4;1
6833;4;1;4;2;1;4;2
6834;4;1;3;1;1;1;3
6835;2;0;4;1;4;2;1
6836;3;0;1;2;1;2;2
6837;3;1;1;2;2;3;3
6838;3;0;2;3;4;1;4
6839;4;1;4;4;4;2;1
6840;2;0;2;1;4;3;1
6841;4;1;3;1;2;3;1
6842;1;1;3;1;1;3;1
6843;3;1;1;1;3;2;2
6844;3;1;1;2;3;1;4
6845;1;0;4;4;4;4;4
6846;2;1;1;2;3;2;3
6847;2;1;3;2;1;2;4
6848;2;0;1;1;3;3;4
6849;1;0;4;1;3;4;1
6850;4;1;3;4;3;2;1
6851;2;1;1;3;2;2;1
6852;4;1;3;3;2;1;4
6853;2;1;1;3;3;1;4
6854;4;1;1;1;4;3;1
6855;4;0;3;4;4;4;2
6856;4;1;2;3;1;3;1
6857;2;0;4;1;3;3;4
6858;2;1;1;1;2;4;3
6859;4;1;1;1;4;2;1
6860;2;0;3;3;2;3;3
6861;4;0;1;4;4;3;3
6862;1;0;4;1;1;4;3
6863;2;0;2;1;2;2;2
6864;4;1;2;1;1;3;2
6865;2;1;2;1;3;1;2
6866;2;0;2;3;1;2;3
6867;3;1;4;1;1;1;1
6868;1;0;2;3;3;3;2
6869;1;0;4;4;4;1;1
6870;4;1;3;4;3;3;4
6871;4;1;1;1;1;1;1
6872;1;0;3;3;1;1;2
6873;3;0;1;2;4;4;4
6874;3;1;3;2;1;4;4
6875;3;1;1;2;1;3;1
6876;4;1;3;3;2;1;4
6877;4;1;2;2;1;2;3
6878;1;0;3;4;3;2;1
6879;3;1;1;2;3;2;1
6880;2;1;2;2;3;1;3
6881;2;0;3;2;4;3;4
6882;1;0;2;2;4;2;3
6883;3;1;2;4;3;1;2
6884;3;1;4;1;2;4;2
6885;4;1;3;1;2;3;4
6886;4;0;4;1;3;4;3
6887;1;1;4;2;3;4;4
6888;2;1;2;2;1;1;1
6889;2;0;1;2;4;3;4
6890;2;0;1;1;2;2;1
6891;2;0;1;1;4;2;1
6892;2;0;3;3;4;3;2
6893;2;0;4;3;4;3;3
6894;1;0;1;3;3;3;4
6895;3;0;3;4;4;4;3
6896;3;0;4;4;3;2;4
6897;1;1;2;1;1;2;3
6898;3;1;4;2;1;2;1
6899;3;0;3;1;1;1;2
6900;4;1;3;2;2;4;2
6901;2;0;4;4;1;3;3
6902;3;1;3;2;1;1;3
6903;4;1;2;4;4;2;4
6904;1;0;4;1;1;3;3
6905;1;0;4;3;2;2;2
6906;2;1;2;4;4;1;3
6907;2;0;1;4;1;2;3
6908;2;0;4;1;2;1;3
6909;1;1;2;1;1;2;3
6910;2;1;1;1;2;2;1
6911;4;1;1;2;4;1;2
6912;4;1;2;1;1;3;3
6913;3;0;3;1;4;4;4
6914;4;1;1;2;1;1;1
6915;2;0;1;4;1;1;3
6916;2;1;3;2;2;4;3
6917;1;0;4;2;4;1;4
6918;4;1;2;3;2;2;1
6919;2;0;3;1;3;2;4
6920;1;0;2;3;3;3;2
6921;1;0;3;2;3;3;2
6922;1;0;2;3;3;4;4
6923;1;0;2;4;1;1;3
6924;1;0;1;2;1;4;4
6925;2;1;2;2;4;2;2
6926;4;1;1;4;3;4;4
6927;3;1;4;1;4;1;1
6928;4;1;1;1;3;2;4
6929;4;1;2;4;1;2;2
6930;2;0;3;2;4;2;2
6931;1;0;3;1;2;3;4
6932;1;0;1;1;1;4;2
6933;1;0;4;1;3;4;3
6934;2;0;1;1;3;2;1
6935;3;0;3;2;3;4;4
6936;2;0;2;2;3;1;3
6937;2;0;2;2;4;4;4
6938;3;1;4;2;3;2;2
6939;3;1;1;2;2;3;4
6940;3;1;3;3;2;2;2
6941;1;1;3;4;1;1;1
6942;1;1;1;4;2;1;2
6943;4;1;1;1;2;1;1
6944;3;1;1;1;2;2;1
6945;3;0;4;4;4;4;1
6946;4;0;2;4;2;4;2
6947;2;1;4;1;2;1;4
6948;3;1;3;1;2;2;1
6949;4;0;1;2;4;2;1
6950;3;1;2;1;1;2;1
6951;1;0;3;4;4;3;2
6952;1;0;3;2;2;4;1
6953;1;1;1;1;1;2;2
6954;3;0;4;2;4;1;4
6955;4;1;3;1;1;1;3
6956;4;1;1;3;1;1;1
6957;2;1;4;1;3;1;3
6958;4;1;2;1;4;1;3
6959;2;1;4;4;1;1;1
6960;3;1;1;3;3;1;4
6961;1;0;2;4;3;4;2
6962;4;0;4;2;3;2;3
6963;2;1;1;3;4;4;2
6964;3;1;2;1;2;2;2
6965;2;1;1;1;1;3;1
6966;4;1;3;2;3;4;4
6967;3;1;1;2;2;1;4
6968;1;0;1;2;3;4;2
6969;3;1;1;1;3;1;3
6970;2;0;2;2;3;4;1
6971;4;0;2;4;3;3;2
6972;2;0;1;2;4;1;4
6973;1;0;4;4;4;4;4
6974;1;0;4;3;4;4;4
6975;2;0;3;1;3;2;4
6976;4;0;4;2;4;4;1
6977;4;1;4;2;1;1;3
6978;4;1;2;2;1;2;2
6979;2;1;1;4;2;1;1
6980;1;0;4;1;3;4;3
6981;3;1;4;2;1;1;2
6982;3;1;1;3;1;4;3
6983;1;0;3;2;4;4;4
6984;2;0;1;3;4;2;1
6985;3;0;1;3;3;4;3
6986;3;1;1;1;1;1;3
6987;2;0;3;2;3;3;2
6988;1;0;2;1;4;2;4
6989;4;1;1;3;4;3;2
6990;3;1;3;4;1;3;2
6991;1;0;3;3;3;1;3
6992;2;0;3;2;4;4;3
6993;1;0;3;2;3;3;4
6994;1;0;2;4;3;2;3
6995;3;1;1;1;2;2;1
6996;3;1;2;2;3;1;3
6997;2;0;4;3;4;4;4
6998;3;1;3;3;1;4;2
6999;2;0;1;1;1;2;1
7000;1;1;1;2;3;3;2
7001;3;1;3;2;1;2;2
7002;2;0;1;2;2;1;4
7003;4;0;2;3;2;4;1
7004;2;0;4;4;2;1;4
7005;4;1;1;3;4;4;1
7006;2;0;4;2;4;1;4
7007;4;1;3;2;3;3;4
7008;2;1;1;2;3;2;2
7009;3;0;4;3;1;4;4
7010;2;0;3;2;2;4;2
7011;2;1;4;3;2;1;4
7012;4;0;3;2;2;4;3
7013;3;1;4;1;3;4;3
7014;2;0;3;3;4;3;3
7015;1;0;1;1;2;2;3
7016;3;0;4;3;4;4;4
7017;3;0;3;1;1;3;2
7018;1;1;2;3;2;4;1
7019;1;0;3;1;4;4;2
7020;1;0;4;2;1;1;3
7021;4;0;4;3;3;1;3
7022;2;0;4;1;4;3;2
7023;2;0;4;4;3;4;1
7024;3;1;4;3;2;3;2
7025;3;1;2;2;1;3;2
7026;3;0;3;1;3;1;2
7027;1;0;4;1;3;3;3
7028;3;1;4;2;2;3;1
7029;1;0;2;1;4;3;1
7030;2;1;4;3;1;2;1
7031;3;0;3;2;4;1;3
7032;2;1;1;1;1;1;4
7033;4;1;1;2;1;3;2
7034;3;1;3;1;4;1;3
7035;2;0;4;3;3;4;1
7036;4;1;4;2;1;4;2
7037;4;1;3;1;1;1;3
7038;2;0;4;1;4;2;1
7039;3;0;1;2;1;2;2
7040;3;1;1;2;2;3;3
7041;3;0;2;3;4;1;4
7042;4;1;4;4;4;2;1
7043;2;0;2;1;4;3;1
7044;4;1;3;1;2;3;1
7045;1;1;3;1;1;3;1
7046;3;1;1;1;3;2;2
7047;3;1;1;2;3;1;4
7048;1;0;4;4;4;4;4
7049;2;1;1;2;3;2;3
7050;2;1;3;2;1;2;4
7051;2;0;1;1;3;3;4
7052;1;0;4;1;3;4;1
7053;4;1;3;4;3;2;1
7054;2;1;1;3;2;2;1
7055;4;1;3;3;2;1;4
7056;2;1;1;3;3;1;4
7057;4;1;1;1;4;3;1
7058;4;0;3;4;4;4;2
7059;4;1;2;3;1;3;1
7060;2;0;4;1;3;3;4
7061;2;1;1;1;2;4;3
7062;4;1;1;1;4;2;1
7063;2;0;3;3;2;3;3
7064;4;0;1;4;4;3;3
7065;1;0;4;1;1;4;3
7066;2;0;2;1;2;2;2
7067;4;1;2;1;1;3;2
7068;2;1;2;1;3;1;2
7069;2;0;2;3;1;2;3
7070;3;1;4;1;1;1;1
7071;1;0;2;3;3;3;2
7072;1;0;4;4;4;1;1
7073;4;1;3;4;3;3;4
7074;4;1;1;1;1;1;1
7075;1;0;3;3;1;1;2
7076;3;0;1;2;4;4;4
7077;3;1;3;2;1;4;4
7078;3;1;1;2;1;3;1
7079;4;1;3;3;2;1;4
7080;4;1;2;2;1;2;3
7081;1;0;3;4;3;2;1
7082;3;1;1;2;3;2;1
7083;2;1;2;2;3;1;3
7084;2;0;3;2;4;3;4
7085;1;0;2;2;4;2;3
7086;3;1;2;4;3;1;2
7087;3;1;4;1;2;4;2
7088;4;1;3;1;2;3;4
7089;4;0;4;1;3;4;3
7090;1;1;4;2;3;4;4
7091;2;1;2;2;1;1;1
7092;2;0;1;2;4;3;4
7093;2;0;1;1;2;2;1
7094;2;0;1;1;4;2;1
7095;2;0;3;3;4;3;2
7096;2;0;4;3;4;3;3
7097;1;0;1;3;3;3;4
7098;3;0;3;4;4;4;3
7099;3;0;4;4;3;2;4
7100;1;1;2;1;1;2;3
7101;3;1;4;2;1;2;1
7102;3;0;3;1;1;1;2
7103;4;1;3;2;2;4;2
7104;2;0;4;4;1;3;3
7105;3;1;3;2;1;1;3
7106;4;1;2;4;4;2;4
7107;1;0;4;1;1;3;3
7108;1;0;4;3;2;2;2
7109;2;1;2;4;4;1;3
7110;2;0;1;4;1;2;3
7111;2;0;4;1;2;1;3
7112;1;1;2;1;1;2;3
7113;2;1;1;1;2;2;1
7114;4;1;1;2;4;1;2
7115;4;1;2;1;1;3;3
7116;3;0;3;1;4;4;4
7117;4;1;1;2;1;1;1
7118;2;0;1;4;1;1;3
7119;2;1;3;2;2;4;3
7120;1;0;4;2;4;1;4
7121;4;1;2;3;2;2;1
7122;2;0;3;1;3;2;4
7123;1;0;2;3;3;3;2
7124;1;0;3;2;3;3;2
7125;1;0;2;3;3;4;4
7126;1;0;2;4;1;1;3
7127;1;0;1;2;1;4;4
7128;2;1;2;2;4;2;2
7129;4;1;1;4;3;4;4
7130;3;1;4;1;4;1;1
7131;4;1;1;1;3;2;4
7132;4;1;2;4;1;2;2
7133;2;0;3;2;4;2;2
7134;1;0;3;1;2;3;4
7135;1;0;1;1;1;4;2
7136;1;0;4;1;3;4;3
7137;2;0;1;1;3;2;1
7138;3;0;3;2;3;4;4
7139;2;0;2;2;3;1;3
7140;2;0;2;2;4;4;4
7141;3;1;4;2;3;2;2
7142;3;1;1;2;2;3;4
7143;3;1;3;3;2;2;2
7144;1;1;3;4;1;1;1
7145;1;1;1;4;2;1;2
7146;4;1;1;1;2;1;1
7147;3;1;1;1;2;2;1
7148;3;0;4;4;4;4;1
7149;4;0;2;4;2;4;2
7150;2;1;4;1;2;1;4
7151;3;1;3;1;2;2;1
7152;4;0;1;2;4;2;1
7153;3;1;2;1;1;2;1
7154;1;0;3;4;4;3;2
7155;1;0;3;2;2;4;1
7156;1;1;1;1;1;2;2
7157;3;0;4;2;4;1;4
7158;4;1;3;1;1;1;3
7159;4;1;1;3;1;1;1
7160;2;1;4;1;3;1;3
7161;4;1;2;1;4;1;3
7162;2;1;4;4;1;1;1
7163;3;1;1;3;3;1;4
7164;1;0;2;4;3;4;2
7165;4;0;4;2;3;2;3
7166;2;1;1;3;4;4;2
7167;3;1;2;1;2;2;2
7168;2;1;1;1;1;3;1
7169;4;1;3;2;3;4;4
7170;3;1;1;2;2;1;4
7171;1;0;1;2;3;4;2
7172;3;1;1;1;3;1;3
7173;2;0;2;2;3;4;1
7174;4;0;2;4;3;3;2
7175;2;0;1;2;4;1;4
7176;1;0;4;4;4;4;4
7177;1;0;4;3;4;4;4
7178;2;0;3;1;3;2;4
7179;4;0;4;2;4;4;1
7180;4;1;4;2;1;1;3
7181;4;1;2;2;1;2;2
7182;2;1;1;4;2;1;1
7183;1;0;4;1;3;4;3
7184;3;1;4;2;1;1;2
7185;3;1;1;3;1;4;3
7186;1;0;3;2;4;4;4
7187;2;0;1;3;4;2;1
7188;3;0;1;3;3;4;3
7189;3;1;1;1;1;1;3
7190;2;0;3;2;3;3;2
7191;1;0;2;1;4;2;4
7192;4;1;1;3;4;3;2
7193;3;1;3;4;1;3;2
7194;1;0;3;3;3;1;3
7195;2;0;3;2;4;4;3
7196;1;0;3;2;3;3;4
7197;1;0;2;4;3;2;3
7198;3;1;1;1;2;2;1
7199;3;1;2;2;3;1;3
7200;2;0;4;3;4;4;4
7201;3;1;3;3;1;4;2
7202;2;0;1;1;1;2;1
7203;1;1;1;2;3;3;2
7204;3;1;3;2;1;2;2
7205;2;0;1;2;2;1;4
7206;4;0;2;3;2;4;1
7207;2;0;4;4;2;1;4
7208;4;1;1;3;4;4;1
7209;2;0;4;2;4;1;4
7210;4;1;3;2;3;3;4
7211;2;1;1;2;3;2;2
7212;3;0;4;3;1;4;4
7213;2;0;3;2;2;4;2
7214;2;1;4;3;2;1;4
7215;4;0;3;2;2;4;3
7216;3;1;4;1;3;4;3
7217;2;0;3;3;4;3;3
7218;1;0;1;1;2;2;3
7219;3;0;4;3;4;4;4
7220;3;0;3;1;1;3;2
7221;1;1;2;3;2;4;1
7222;1;0;3;1;4;4;2
7223;1;0;4;2;1;1;3
7224;4;0;4;3;3;1;3
7225;2;0;4;1;4;3;2
7226;2;0;4;4;3;4;1
7227;3;1;4;3;2;3;2
7228;3;1;2;2;1;3;2
7229;3;0;3;1;3;1;2
7230;1;0;4;1;3;3;3
7231;3;1;4;2;2;3;1
7232;1;0;2;1;4;3;1
7233;2;1;4;3;1;2;1
7234;3;0;3;2;4;1;3
7235;2;1;1;1;1;1;4
7236;4;1;1;2;1;3;2
7237;3;1;3;1;4;1;3
7238;2;0;4;3;3;4;1
7239;4;1;4;2;1;4;2
7240;4;1;3;1;1;1;3
7241;2;0;4;1;4;2;1
7242;3;0;1;2;1;2;2
7243;3;1;1;2;2;3;3
7244;3;0;2;3;4;1;4
7245;4;1;4;4;4;2;1
7246;2;0;2;1;4;3;1
7247;4;1;3;1;2;3;1
7248;1;1;3;1;1;3;1
7249;3;1;1;1;3;2;2
7250;3;1;1;2;3;1;4
7251;1;0;4;4;4;4;4
7252;2;1;1;2;3;2;3
7253;2;1;3;2;1;2;4
7254;2;0;1;1;3;3;4
7255;1;0;4;1;3;4;1
7256;4;1;3;4;3;2;1
7257;2;1;1;3;2;2;1
7258;4;1;3;3;2;1;4
7259;2;1;1;3;3;1;4
7260;4;1;1;1;4;3;1
7261;4;0;3;4;4;4;2
7262;4;1;2;3;1;3;1
7263;2;0;4;1;3;3;4
7264;2;1;1;1;2;4;3
7265;4;1;1;1;4;2;1
7266;2;0;3;3;2;3;3
7267;4;0;1;4;4;3;3
7268;1;0;4;1;1;4;3
7269;2;0;2;1;2;2;2
7270;4;1;2;1;1;3;2
7271;2;1;2;1;3;1;2
7272;2;0;2;3;1;2;3
7273;3;1;4;1;1;1;1
7274;1;0;2;3;3;3;2
7275;1;0;4;4;4;1;1
7276;4;1;3;4;3;3;4
7277;4;1;1;1;1;1;1
7278;1;0;3;3;1;1;2
7279;3;0;1;2;4;4;4
7280;3;1;3;2;1;4;4
7281;3;1;1;2;1;3;1
7282;4;1;3;3;2;1;4
7283;4;1;2;2;1;2;3
7284;1;0;3;4;3;2;1
7285;3;1;1;2;3;2;1
7286;2;1;2;2;3;1;3
7287;2;0;3;2;4;3;4
7288;1;0;2;2;4;2;3
7289;3;1;2;4;3;1;2
7290;3;1;4;1;2;4;2
7291;4;1;3;1;2;3;4
7292;4;0;4;1;3;4;3
7293;1;1;4;2;3;4;4
7294;2;1;2;2;1;1;1
7295;2;0;1;2;4;3;4
7296;2;0;1;1;2;2;1
7297;2;0;1;1;4;2;1
7298;2;0;3;3;4;3;2
7299;2;0;4;3;4;3;3
7300;1;0;1;3;3;3;4
7301;3;0;3;4;4;4;3
7302;3;0;4;4;3;2;4
7303;1;1;2;1;1;2;3
7304;3;1;4;2;1;2;1
7305;3;0;3;1;1;1;2
7306;4;1;3;2;2;4;2
7307;2;0;4;4;1;3;3
7308;3;1;3;2;1;1;3
7309;4;1;2;4;4;2;4
7310;1;0;4;1;1;3;3
7311;1;0;4;3;2;2;2
7312;2;1;2;4;4;1;3
7313;2;0;1;4;1;2;3
7314;2;0;4;1;2;1;3
7315;1;1;2;1;1;2;3
7316;2;1;1;1;2;2;1
7317;4;1;1;2;4;1;2
7318;4;1;2;1;1;3;3
7319;3;0;3;1;4;4;4
7320;4;1;1;2;1;1;1
7321;2;0;1;4;1;1;3
7322;2;1;3;2;2;4;3
7323;1;0;4;2;4;1;4
7324;4;1;2;3;2;2;1
7325;2;0;3;1;3;2;4
7326;1;0;2;3;3;3;2
7327;1;0;3;2;3;3;2
7328;1;0;2;3;3;4;4
7329;1;0;2;4;1;1;3
7330;1;0;1;2;1;4;4
7331;2;1;2;2;4;2;2
7332;4;1;1;4;3;4;4
7333;3;1;4;1;4;1;1
7334;4;1;1;1;3;2;4
7335;4;1;2;4;1;2;2
7336;2;0;3;2;4;2;2
7337;1;0;3;1;2;3;4
7338;1;0;1;1;1;4;2
7339;1;0;4;1;3;4;3
7340;2;0;1;1;3;2;1
7341;3;0;3;2;3;4;4
7342;2;0;2;2;3;1;3
7343;2;0;2;2;4;4;4
7344;3;1;4;2;3;2;2
7345;3;1;1;2;2;3;4
7346;3;1;3;3;2;2;2
7347;1;1;3;4;1;1;1
7348;1;1;1;4;2;1;2
7349;4;1;1;1;2;1;1
7350;3;1;1;1;2;2;1
7351;3;0;4;4;4;4;1
7352;4;0;2;4;2;4;2
7353;2;1;4;1;2;1;4
7354;3;1;3;1;2;2;1
7355;4;0;1;2;4;2;1
7356;3;1;2;1;1;2;1
7357;1;0;3;4;4;3;2
7358;1;0;3;2;2;4;1
7359;1;1;1;1;1;2;2
7360;3;0;4;2;4;1;4
7361;4;1;3;1;1;1;3
7362;4;1;1;3;1;1;1
7363;2;1;4;1;3;1;3
7364;4;1;2;1;4;1;3
7365;2;1;4;4;1;1;1
7366;3;1;1;3;3;1;4
7367;1;0;2;4;3;4;2
7368;4;0;4;2;3;2;3
7369;2;1;1;3;4;4;2
7370;3;1;2;1;2;2;2
7371;2;1;1;1;1;3;1
7372;4;1;3;2;3;4;4
7373;3;1;1;2;2;1;4
7374;1;0;1;2;3;4;2
7375;3;1;1;1;3;1;3
7376;2;0;2;2;3;4;1
7377;4;0;2;4;3;3;2
7378;2;0;1;2;4;1;4
7379;1;0;4;4;4;4;4
7380;1;0;4;3;4;4;4
7381;2;0;3;1;3;2;4
7382;4;0;4;2;4;4;1
7383;4;1;4;2;1;1;3
7384;4;1;2;2;1;2;2
7385;2;1;1;4;2;1;1
7386;1;0;4;1;3;4;3
7387;3;1;4;2;1;1;2
7388;3;1;1;3;1;4;3
7389;1;0;3;2;4;4;4
7390;2;0;1;3;4;2;1
7391;3;0;1;3;3;4;3
7392;3;1;1;1;1;1;3
7393;2;0;3;2;3;3;2
7394;1;0;2;1;4;2;4
7395;4;1;1;3;4;3;2
7396;3;1;3;4;1;3;2
7397;1;0;3;3;3;1;3
7398;2;0;3;2;4;4;3
7399;1;0;3;2;3;3;4
7400;1;0;2;4;3;2;3
7401;3;1;1;1;2;2;1
7402;3;1;2;2;3;1;3
7403;2;0;4;3;4;4;4
7404;3;1;3;3;1;4;2
7405;2;0;1;1;1;2;1
7406;1;1;1;2;3;3;2
7407;3;1;3;2;1;2;2
7408;2;0;1;2;2;1;4
7409;4;0;2;3;2;4;1
7410;2;0;4;4;2;1;4
7411;4;1;1;3;4;4;1
7412;2;0;4;2;4;1;4
